Shipment_ID,Origin_Hub,Destination_City,Courier_Partner,Distance_KM,Expected_Days,Actual_Days,Shipping_Cost_SAR,Weight_KG,Delivery_Status,Is_Delayed
KSA-LOG-1237,Jeddah Port Hub,Madinah,SAL Express,602,2,4,151.56,31.36,Delayed - Traffic/Route,1
KSA-LOG-1238,Dammam Logistics Gateway,Madinah,Aramex KSA,747,2,2,160.28,30.21,On-Time,0
KSA-LOG-1239,Jeddah Port Hub,Riyadh,Aramex KSA,595,2,4,80.47,3.15,Delayed - Weather,1
KSA-LOG-1240,Madinah Distribution Center,Jeddah,SAL Express,359,1,1,101.57,19.14,On-Time,0
KSA-LOG-1241,Madinah Distribution Center,Madinah,SAL Express,863,3,3,124.02,11.99,On-Time,0
KSA-LOG-1242,Madinah Distribution Center,Tabuk,SAL Express,451,2,4,95.18,13.64,Delayed - Traffic/Route,1
KSA-LOG-1243,Riyadh Central Hub,Madinah,Aramex KSA,1396,4,5,206.53,27.94,Delayed - Traffic/Route,1
KSA-LOG-1244,Jeddah Port Hub,Dammam,Aramex KSA,152,1,3,63.11,10.38,Delayed - Weather,1
KSA-LOG-1245,Madinah Distribution Center,Jeddah,SAL Express,1139,3,3,153.74,15.05,On-Time,0
KSA-LOG-1246,Riyadh Central Hub,Dammam,SAL Express,1266,4,7,156.88,12.24,Delayed - Traffic/Route,1
KSA-LOG-1247,Madinah Distribution Center,Jeddah,SAL Express,669,2,2,197.14,47.45,On-Time,0
KSA-LOG-1248,Madinah Distribution Center,Dammam,SPL (Saudi Post),642,2,2,194.51,47.26,On-Time,0
KSA-LOG-1249,NEOM Supply Hub,Madinah,SAL Express,769,2,2,163.24,30.69,On-Time,0
KSA-LOG-1250,Jeddah Port Hub,Madinah,Aramex KSA,1334,4,4,247.37,46.26,On-Time,0
KSA-LOG-1251,Riyadh Central Hub,Riyadh,Aramex KSA,480,2,2,161.9,39.4,On-Time,0
KSA-LOG-1252,NEOM Supply Hub,Tabuk,SMSA Express,482,2,2,137.81,29.7,On-Time,0
KSA-LOG-1253,Riyadh Central Hub,Dammam,SAL Express,199,1,1,42.97,0.82,On-Time,0
KSA-LOG-1254,Jeddah Port Hub,NEOM,SAL Express,1012,3,3,202.81,38.74,On-Time,0
KSA-LOG-1255,Dammam Logistics Gateway,Riyadh,Aramex KSA,421,2,2,146.86,35.27,On-Time,0
KSA-LOG-1256,Madinah Distribution Center,Dammam,Aramex KSA,729,2,4,160.72,30.96,Delayed - Traffic/Route,1
KSA-LOG-1257,Dammam Logistics Gateway,Dammam,Aramex KSA,709,2,2,177.07,38.14,On-Time,0
KSA-LOG-1258,Dammam Logistics Gateway,Riyadh,SMSA Express,845,3,3,157.32,25.89,On-Time,0
KSA-LOG-1259,Jeddah Port Hub,Madinah,SAL Express,1263,4,4,214.42,35.35,On-Time,0
KSA-LOG-1260,Dammam Logistics Gateway,Dammam,SPL (Saudi Post),595,2,4,189.58,46.79,Delayed - Traffic/Route,1
KSA-LOG-1261,Madinah Distribution Center,Madinah,Aramex KSA,1166,3,3,166.03,19.1,On-Time,0
KSA-LOG-1262,Jeddah Port Hub,Riyadh,SAL Express,1312,4,4,218.84,35.55,On-Time,0
KSA-LOG-1263,Riyadh Central Hub,Madinah,SPL (Saudi Post),506,2,2,125.6,24.05,On-Time,0
KSA-LOG-1264,NEOM Supply Hub,Jeddah,Aramex KSA,423,2,5,143.54,33.88,Delayed - Traffic/Route,1
KSA-LOG-1265,Dammam Logistics Gateway,NEOM,SMSA Express,1192,3,5,216.01,38.26,Delayed - Warehouse,1
KSA-LOG-1266,Dammam Logistics Gateway,Khobar,Aramex KSA,460,2,2,68.68,2.75,On-Time,0
KSA-LOG-1267,Dammam Logistics Gateway,Dammam,Aramex KSA,1019,3,3,187.8,32.51,On-Time,0
KSA-LOG-1268,Riyadh Central Hub,Tabuk,Aramex KSA,1035,3,3,137.1,11.72,On-Time,0
KSA-LOG-1269,Jeddah Port Hub,NEOM,SAL Express,303,1,1,133.42,33.67,On-Time,0
KSA-LOG-1270,NEOM Supply Hub,Khobar,SAL Express,769,2,2,145.72,23.68,On-Time,0
KSA-LOG-1271,NEOM Supply Hub,Madinah,SPL (Saudi Post),1032,3,3,204.54,38.79,On-Time,0
KSA-LOG-1272,NEOM Supply Hub,Dammam,SAL Express,946,3,3,117.21,6.61,On-Time,0
KSA-LOG-1273,Madinah Distribution Center,Madinah,SMSA Express,274,1,1,125.67,31.5,On-Time,0
KSA-LOG-1274,Riyadh Central Hub,Jeddah,SMSA Express,768,2,2,122.14,14.28,On-Time,0
KSA-LOG-1275,Riyadh Central Hub,Riyadh,SMSA Express,394,1,1,163.32,42.72,On-Time,0
KSA-LOG-1276,NEOM Supply Hub,Dammam,Aramex KSA,997,3,3,220.88,46.45,On-Time,0
KSA-LOG-1277,Dammam Logistics Gateway,Khobar,SPL (Saudi Post),599,2,2,197.47,49.82,On-Time,0
KSA-LOG-1278,Dammam Logistics Gateway,Khobar,SAL Express,1079,3,3,211.07,39.9,On-Time,0
KSA-LOG-1279,NEOM Supply Hub,Jeddah,SAL Express,669,2,2,173.04,37.81,On-Time,0
KSA-LOG-1280,NEOM Supply Hub,Jeddah,SAL Express,1314,4,4,158.05,11.17,On-Time,0
KSA-LOG-1281,Riyadh Central Hub,Dammam,SPL (Saudi Post),511,2,4,108.7,17.13,Delayed - Customs,1
KSA-LOG-1282,Riyadh Central Hub,Madinah,Aramex KSA,157,1,1,96.44,23.55,On-Time,0
KSA-LOG-1283,Jeddah Port Hub,Tabuk,SAL Express,627,2,4,172.11,38.78,Delayed - Weather,1
KSA-LOG-1284,Dammam Logistics Gateway,Khobar,Aramex KSA,644,2,2,191.0,45.79,On-Time,0
KSA-LOG-1285,Jeddah Port Hub,Khobar,SPL (Saudi Post),982,3,3,128.21,9.86,On-Time,0
KSA-LOG-1286,Riyadh Central Hub,Jeddah,Aramex KSA,1212,4,4,237.36,46.16,On-Time,0
KSA-LOG-1287,Riyadh Central Hub,NEOM,SPL (Saudi Post),742,2,3,171.68,34.93,Delayed - Warehouse,1
KSA-LOG-1288,Jeddah Port Hub,Jeddah,SAL Express,336,1,1,128.7,30.73,On-Time,0
KSA-LOG-1289,Dammam Logistics Gateway,Tabuk,Aramex KSA,903,3,3,123.22,10.39,On-Time,0
KSA-LOG-1290,Jeddah Port Hub,Madinah,SMSA Express,242,1,3,52.48,3.25,Delayed - Customs,1
KSA-LOG-1291,Jeddah Port Hub,Madinah,Aramex KSA,235,1,1,115.4,28.64,On-Time,0
KSA-LOG-1292,NEOM Supply Hub,NEOM,Aramex KSA,1217,4,4,204.24,32.75,On-Time,0
KSA-LOG-1293,Riyadh Central Hub,Khobar,Aramex KSA,286,1,1,75.2,10.93,On-Time,0
KSA-LOG-1294,Jeddah Port Hub,Jeddah,Aramex KSA,570,2,5,140.7,28.04,Delayed - Customs,1
KSA-LOG-1295,Riyadh Central Hub,Madinah,SAL Express,223,1,1,150.09,42.9,On-Time,0
KSA-LOG-1296,NEOM Supply Hub,Tabuk,SMSA Express,1329,4,4,235.92,41.84,On-Time,0
KSA-LOG-1297,Jeddah Port Hub,Dammam,SPL (Saudi Post),320,1,1,166.6,46.4,On-Time,0
KSA-LOG-1298,Dammam Logistics Gateway,Riyadh,SPL (Saudi Post),319,1,1,97.04,18.61,On-Time,0
KSA-LOG-1299,Jeddah Port Hub,Riyadh,SAL Express,1021,3,6,147.28,16.24,Delayed - Weather,1
KSA-LOG-1300,Jeddah Port Hub,Riyadh,SAL Express,471,2,4,156.68,37.6,Delayed - Customs,1
KSA-LOG-1301,Riyadh Central Hub,Khobar,SAL Express,605,2,2,128.0,21.84,On-Time,0
KSA-LOG-1302,Riyadh Central Hub,Jeddah,Aramex KSA,1093,3,3,124.52,4.83,On-Time,0
KSA-LOG-1303,Dammam Logistics Gateway,NEOM,Aramex KSA,939,3,5,136.37,14.5,Delayed - Customs,1
KSA-LOG-1304,Dammam Logistics Gateway,Madinah,SAL Express,762,2,4,139.01,21.22,Delayed - Warehouse,1
KSA-LOG-1305,Madinah Distribution Center,Dammam,SMSA Express,1328,4,4,168.69,14.98,On-Time,0
KSA-LOG-1306,Riyadh Central Hub,Tabuk,Aramex KSA,1038,3,6,150.39,16.94,Delayed - Weather,1
KSA-LOG-1307,Riyadh Central Hub,Dammam,Aramex KSA,498,2,5,102.44,15.04,Delayed - Customs,1
KSA-LOG-1308,NEOM Supply Hub,Tabuk,SMSA Express,1346,4,4,139.06,2.55,On-Time,0
KSA-LOG-1309,Jeddah Port Hub,Khobar,SMSA Express,159,1,2,117.82,32.04,Delayed - Warehouse,1
KSA-LOG-1310,Riyadh Central Hub,Jeddah,SMSA Express,889,3,3,171.3,30.07,On-Time,0
KSA-LOG-1311,Jeddah Port Hub,Riyadh,SAL Express,816,3,3,172.38,32.84,On-Time,0
KSA-LOG-1312,Jeddah Port Hub,Jeddah,SMSA Express,695,2,2,105.65,10.02,On-Time,0
KSA-LOG-1313,Madinah Distribution Center,Khobar,Aramex KSA,278,1,1,85.06,15.13,On-Time,0
KSA-LOG-1314,NEOM Supply Hub,NEOM,SPL (Saudi Post),750,2,2,162.93,31.17,On-Time,0
KSA-LOG-1315,Dammam Logistics Gateway,NEOM,Aramex KSA,754,2,2,160.77,30.18,On-Time,0
KSA-LOG-1316,Riyadh Central Hub,Khobar,Aramex KSA,476,2,2,126.98,25.56,On-Time,0
KSA-LOG-1317,Jeddah Port Hub,Tabuk,SAL Express,1129,3,3,159.94,17.85,On-Time,0
KSA-LOG-1318,Jeddah Port Hub,Madinah,SMSA Express,553,2,2,183.46,45.69,On-Time,0
KSA-LOG-1319,Jeddah Port Hub,Madinah,SAL Express,778,2,2,130.54,17.32,On-Time,0
KSA-LOG-1320,Riyadh Central Hub,Tabuk,SAL Express,867,3,3,151.99,23.05,On-Time,0
KSA-LOG-1321,Dammam Logistics Gateway,NEOM,Aramex KSA,1190,3,4,205.38,34.07,Delayed - Warehouse,1
KSA-LOG-1322,Dammam Logistics Gateway,NEOM,SPL (Saudi Post),423,2,3,127.29,27.38,Delayed - Weather,1
KSA-LOG-1323,Jeddah Port Hub,NEOM,SAL Express,834,3,6,135.9,17.67,Delayed - Customs,1
KSA-LOG-1324,Madinah Distribution Center,Jeddah,SMSA Express,265,1,1,101.35,22.06,On-Time,0
KSA-LOG-1325,Dammam Logistics Gateway,NEOM,Aramex KSA,1010,3,3,205.38,39.83,On-Time,0
KSA-LOG-1326,Dammam Logistics Gateway,Dammam,SAL Express,842,3,3,128.04,14.27,On-Time,0
KSA-LOG-1327,Dammam Logistics Gateway,Riyadh,SMSA Express,1264,4,5,144.97,7.54,Delayed - Warehouse,1
KSA-LOG-1328,Riyadh Central Hub,NEOM,Aramex KSA,1255,4,4,165.4,16.0,On-Time,0
KSA-LOG-1329,Jeddah Port Hub,Tabuk,Aramex KSA,473,2,2,169.22,42.55,On-Time,0
KSA-LOG-1330,Riyadh Central Hub,Riyadh,SAL Express,1110,3,5,126.05,4.9,Delayed - Traffic/Route,1
KSA-LOG-1331,NEOM Supply Hub,Jeddah,SMSA Express,263,1,1,170.02,49.59,On-Time,0
KSA-LOG-1332,Jeddah Port Hub,Tabuk,Aramex KSA,1231,4,4,191.68,27.28,On-Time,0
KSA-LOG-1333,Jeddah Port Hub,Riyadh,SMSA Express,303,1,1,172.36,49.25,On-Time,0
KSA-LOG-1334,Jeddah Port Hub,Tabuk,SAL Express,464,2,2,179.57,46.98,On-Time,0
KSA-LOG-1335,Jeddah Port Hub,Jeddah,Aramex KSA,1214,4,6,179.4,22.91,Delayed - Traffic/Route,1
KSA-LOG-1336,NEOM Supply Hub,Dammam,SAL Express,254,1,1,71.14,10.33,On-Time,0
KSA-LOG-1337,Dammam Logistics Gateway,Jeddah,Aramex KSA,1366,4,4,155.93,8.66,On-Time,0
KSA-LOG-1338,Riyadh Central Hub,Jeddah,SAL Express,503,2,2,96.19,12.38,On-Time,0
KSA-LOG-1339,Jeddah Port Hub,Tabuk,SPL (Saudi Post),1165,3,3,207.32,35.65,On-Time,0
KSA-LOG-1340,Riyadh Central Hub,Khobar,SMSA Express,882,3,3,130.58,14.01,On-Time,0
KSA-LOG-1341,Riyadh Central Hub,Madinah,SAL Express,858,3,3,137.14,17.4,On-Time,0
KSA-LOG-1342,Jeddah Port Hub,NEOM,SAL Express,800,2,2,145.78,22.71,On-Time,0
KSA-LOG-1343,Riyadh Central Hub,NEOM,SAL Express,973,3,3,217.12,45.71,On-Time,0
KSA-LOG-1344,Riyadh Central Hub,Dammam,SPL (Saudi Post),1096,3,3,137.36,9.87,On-Time,0
KSA-LOG-1345,Dammam Logistics Gateway,Dammam,SPL (Saudi Post),810,3,3,91.68,0.75,On-Time,0
KSA-LOG-1346,Dammam Logistics Gateway,NEOM,SMSA Express,248,1,4,53.52,3.47,Delayed - Warehouse,1
KSA-LOG-1347,Jeddah Port Hub,Madinah,SMSA Express,737,2,3,197.18,45.29,Delayed - Traffic/Route,1
KSA-LOG-1348,Riyadh Central Hub,NEOM,Aramex KSA,431,2,4,140.86,32.55,Delayed - Customs,1
KSA-LOG-1349,Dammam Logistics Gateway,Khobar,SPL (Saudi Post),552,2,2,104.21,14.02,On-Time,0
KSA-LOG-1350,Riyadh Central Hub,Madinah,SMSA Express,1282,4,4,150.74,9.27,On-Time,0
KSA-LOG-1351,NEOM Supply Hub,Dammam,SMSA Express,849,3,3,130.6,15.07,On-Time,0
KSA-LOG-1352,Dammam Logistics Gateway,Riyadh,SMSA Express,348,1,1,68.29,6.18,On-Time,0
KSA-LOG-1353,Jeddah Port Hub,Tabuk,Aramex KSA,476,2,2,180.86,47.11,On-Time,0
KSA-LOG-1354,Jeddah Port Hub,Khobar,SAL Express,303,1,4,147.54,39.32,Delayed - Traffic/Route,1
KSA-LOG-1355,Dammam Logistics Gateway,Khobar,Aramex KSA,701,2,3,139.56,23.39,Delayed - Customs,1
KSA-LOG-1356,Jeddah Port Hub,Dammam,SMSA Express,554,2,2,177.62,43.32,On-Time,0
KSA-LOG-1357,Dammam Logistics Gateway,Dammam,Aramex KSA,611,2,4,106.0,12.85,Delayed - Traffic/Route,1
KSA-LOG-1358,Madinah Distribution Center,Jeddah,SAL Express,281,1,1,137.48,36.0,On-Time,0
KSA-LOG-1359,Dammam Logistics Gateway,Khobar,SMSA Express,940,3,4,207.4,42.88,Delayed - Traffic/Route,1
KSA-LOG-1360,Riyadh Central Hub,Jeddah,SMSA Express,1023,3,3,152.24,18.16,On-Time,0
KSA-LOG-1361,Dammam Logistics Gateway,Jeddah,Aramex KSA,233,1,1,138.62,37.99,On-Time,0
KSA-LOG-1362,Riyadh Central Hub,Tabuk,SAL Express,903,3,3,135.01,15.11,On-Time,0
KSA-LOG-1363,Riyadh Central Hub,Jeddah,SMSA Express,777,2,2,125.38,15.29,On-Time,0
KSA-LOG-1364,Madinah Distribution Center,Madinah,SMSA Express,1282,4,4,142.06,5.8,On-Time,0
KSA-LOG-1365,Riyadh Central Hub,NEOM,SMSA Express,370,1,1,110.3,22.28,On-Time,0
KSA-LOG-1366,Madinah Distribution Center,Riyadh,Aramex KSA,702,2,2,172.71,36.62,On-Time,0
KSA-LOG-1367,Madinah Distribution Center,Dammam,Aramex KSA,1320,4,7,248.2,47.04,Delayed - Customs,1
KSA-LOG-1368,Jeddah Port Hub,Madinah,Aramex KSA,261,1,1,121.85,30.39,On-Time,0
KSA-LOG-1369,Jeddah Port Hub,Riyadh,SAL Express,764,2,3,194.2,43.23,Delayed - Weather,1
KSA-LOG-1370,Jeddah Port Hub,Khobar,Aramex KSA,1073,3,3,213.86,41.21,On-Time,0
KSA-LOG-1371,Jeddah Port Hub,Khobar,SMSA Express,624,2,2,97.62,9.08,On-Time,0
KSA-LOG-1372,Jeddah Port Hub,Khobar,SAL Express,985,3,3,165.18,24.55,On-Time,0
KSA-LOG-1373,Dammam Logistics Gateway,Madinah,SAL Express,420,2,5,74.32,6.29,Delayed - Customs,1
KSA-LOG-1374,Jeddah Port Hub,Madinah,SAL Express,570,2,2,156.28,34.27,On-Time,0
KSA-LOG-1375,Riyadh Central Hub,Dammam,Aramex KSA,856,3,3,212.28,47.52,On-Time,0
KSA-LOG-1376,NEOM Supply Hub,NEOM,Aramex KSA,189,1,1,58.35,7.29,On-Time,0
KSA-LOG-1377,Jeddah Port Hub,Jeddah,Aramex KSA,338,1,1,144.11,36.83,On-Time,0
KSA-LOG-1378,NEOM Supply Hub,Khobar,SMSA Express,1337,4,4,211.46,31.8,On-Time,0
KSA-LOG-1379,Jeddah Port Hub,Tabuk,SMSA Express,1143,3,3,189.92,29.39,On-Time,0
KSA-LOG-1380,Jeddah Port Hub,NEOM,SAL Express,685,2,2,129.33,19.81,On-Time,0
KSA-LOG-1381,Dammam Logistics Gateway,Tabuk,SAL Express,1177,3,4,164.36,18.08,Delayed - Customs,1
KSA-LOG-1382,Dammam Logistics Gateway,Dammam,SMSA Express,439,2,2,66.97,2.74,On-Time,0
KSA-LOG-1383,NEOM Supply Hub,Dammam,SAL Express,582,2,4,99.78,11.29,Delayed - Traffic/Route,1
KSA-LOG-1384,Dammam Logistics Gateway,Dammam,SAL Express,620,2,5,77.72,1.25,Delayed - Customs,1
KSA-LOG-1385,NEOM Supply Hub,Riyadh,SMSA Express,1354,4,4,206.52,29.28,On-Time,0
KSA-LOG-1386,Jeddah Port Hub,Tabuk,Aramex KSA,777,2,5,101.51,5.74,Delayed - Traffic/Route,1
KSA-LOG-1387,Jeddah Port Hub,NEOM,SPL (Saudi Post),428,2,2,168.52,43.71,On-Time,0
KSA-LOG-1388,NEOM Supply Hub,NEOM,SPL (Saudi Post),1026,3,3,173.08,26.4,On-Time,0
KSA-LOG-1389,NEOM Supply Hub,Madinah,Aramex KSA,730,2,5,171.23,35.13,Delayed - Customs,1
KSA-LOG-1390,Madinah Distribution Center,Madinah,SMSA Express,1012,3,3,158.06,20.84,On-Time,0
KSA-LOG-1391,Riyadh Central Hub,Khobar,Aramex KSA,403,2,2,127.86,28.25,On-Time,0
KSA-LOG-1392,Riyadh Central Hub,Madinah,Aramex KSA,330,1,1,169.3,47.16,On-Time,0
KSA-LOG-1393,NEOM Supply Hub,Dammam,SAL Express,830,3,4,102.9,4.6,Delayed - Traffic/Route,1
KSA-LOG-1394,Riyadh Central Hub,NEOM,SMSA Express,974,3,3,135.6,13.07,On-Time,0
KSA-LOG-1395,Madinah Distribution Center,Tabuk,Aramex KSA,849,3,3,190.7,39.11,On-Time,0
KSA-LOG-1396,NEOM Supply Hub,Dammam,SMSA Express,715,2,2,95.68,5.39,On-Time,0
KSA-LOG-1397,Riyadh Central Hub,Riyadh,SMSA Express,829,3,3,101.94,4.25,On-Time,0
KSA-LOG-1398,NEOM Supply Hub,Madinah,SMSA Express,540,2,2,114.2,18.4,On-Time,0
KSA-LOG-1399,NEOM Supply Hub,Dammam,SAL Express,1258,4,4,138.29,5.06,On-Time,0
KSA-LOG-1400,Jeddah Port Hub,Dammam,SMSA Express,361,1,1,127.53,29.46,On-Time,0
KSA-LOG-1401,Madinah Distribution Center,Riyadh,SAL Express,533,2,2,96.89,11.7,On-Time,0
KSA-LOG-1402,Riyadh Central Hub,Jeddah,SAL Express,491,2,2,176.38,44.84,On-Time,0
KSA-LOG-1403,NEOM Supply Hub,NEOM,SAL Express,993,3,3,202.64,39.28,On-Time,0
KSA-LOG-1404,Riyadh Central Hub,Tabuk,Aramex KSA,1211,4,4,209.73,35.14,On-Time,0
KSA-LOG-1405,NEOM Supply Hub,Khobar,SAL Express,569,2,2,148.12,31.04,On-Time,0
KSA-LOG-1406,Riyadh Central Hub,Jeddah,SMSA Express,900,3,3,205.1,43.24,On-Time,0
KSA-LOG-1407,Jeddah Port Hub,Madinah,SAL Express,1342,4,4,161.21,11.54,On-Time,0
KSA-LOG-1408,Madinah Distribution Center,Dammam,SPL (Saudi Post),455,2,2,170.7,43.72,On-Time,0
KSA-LOG-1409,Jeddah Port Hub,Riyadh,SAL Express,851,3,3,192.03,39.58,On-Time,0
KSA-LOG-1410,Riyadh Central Hub,Riyadh,SMSA Express,1018,3,3,200.26,37.53,On-Time,0
KSA-LOG-1411,Madinah Distribution Center,NEOM,SPL (Saudi Post),686,2,2,150.58,28.28,On-Time,0
KSA-LOG-1412,Madinah Distribution Center,Jeddah,Aramex KSA,1285,4,5,159.52,12.69,Delayed - Warehouse,1
KSA-LOG-1413,Dammam Logistics Gateway,Khobar,SAL Express,355,1,1,107.08,21.47,On-Time,0
KSA-LOG-1414,Dammam Logistics Gateway,NEOM,Aramex KSA,1358,4,6,233.09,39.78,Delayed - Traffic/Route,1
KSA-LOG-1415,Riyadh Central Hub,Dammam,SMSA Express,645,2,2,81.77,2.07,On-Time,0
KSA-LOG-1416,Jeddah Port Hub,NEOM,SMSA Express,1220,4,7,220.62,39.21,Delayed - Weather,1
KSA-LOG-1417,Riyadh Central Hub,Tabuk,SAL Express,653,2,5,108.19,12.38,Delayed - Warehouse,1
KSA-LOG-1418,Dammam Logistics Gateway,Riyadh,SAL Express,1195,3,3,139.7,7.64,On-Time,0
KSA-LOG-1419,NEOM Supply Hub,Riyadh,Aramex KSA,362,1,1,69.54,6.23,On-Time,0
KSA-LOG-1420,NEOM Supply Hub,Madinah,SMSA Express,459,2,3,66.34,1.85,Delayed - Customs,1
KSA-LOG-1421,NEOM Supply Hub,Madinah,SMSA Express,810,3,3,155.85,26.42,On-Time,0
KSA-LOG-1422,Jeddah Port Hub,Khobar,Aramex KSA,902,3,3,125.41,11.3,On-Time,0
KSA-LOG-1423,Riyadh Central Hub,Dammam,Aramex KSA,421,2,2,182.38,49.48,On-Time,0
KSA-LOG-1424,Jeddah Port Hub,Tabuk,SAL Express,1087,3,4,184.29,28.93,Delayed - Customs,1
KSA-LOG-1425,Riyadh Central Hub,Jeddah,Aramex KSA,1375,4,4,153.32,7.33,On-Time,0
KSA-LOG-1426,Riyadh Central Hub,NEOM,SAL Express,181,1,1,125.96,34.59,On-Time,0
KSA-LOG-1427,NEOM Supply Hub,Khobar,Aramex KSA,592,2,4,184.71,44.94,Delayed - Weather,1
KSA-LOG-1428,Riyadh Central Hub,Dammam,Aramex KSA,311,1,1,143.35,37.39,On-Time,0
KSA-LOG-1429,Jeddah Port Hub,Madinah,SPL (Saudi Post),916,3,3,108.98,4.28,On-Time,0
KSA-LOG-1430,Jeddah Port Hub,NEOM,SAL Express,403,2,2,169.36,44.85,On-Time,0
KSA-LOG-1431,NEOM Supply Hub,Madinah,SAL Express,670,2,2,178.1,39.8,On-Time,0
KSA-LOG-1432,Dammam Logistics Gateway,NEOM,SAL Express,1126,3,3,135.93,8.34,On-Time,0
KSA-LOG-1433,Jeddah Port Hub,Jeddah,SAL Express,159,1,1,45.37,3.06,On-Time,0
KSA-LOG-1434,Jeddah Port Hub,Dammam,SAL Express,875,3,3,165.22,28.09,On-Time,0
KSA-LOG-1435,Dammam Logistics Gateway,NEOM,SPL (Saudi Post),654,2,2,97.87,8.22,On-Time,0
KSA-LOG-1436,Jeddah Port Hub,Tabuk,SAL Express,934,3,3,204.24,41.81,On-Time,0
KSA-LOG-1437,NEOM Supply Hub,Khobar,SAL Express,585,2,2,117.4,18.24,On-Time,0
KSA-LOG-1438,Dammam Logistics Gateway,Riyadh,Aramex KSA,1284,4,6,241.94,45.69,Delayed - Customs,1
KSA-LOG-1439,Jeddah Port Hub,Tabuk,SMSA Express,302,1,1,120.41,28.5,On-Time,0
KSA-LOG-1440,Jeddah Port Hub,Tabuk,Aramex KSA,1066,3,3,134.13,9.54,On-Time,0
KSA-LOG-1441,Madinah Distribution Center,Khobar,SAL Express,1018,3,3,124.96,7.41,On-Time,0
KSA-LOG-1442,Riyadh Central Hub,Riyadh,SMSA Express,1275,4,4,199.6,29.04,On-Time,0
KSA-LOG-1443,Riyadh Central Hub,Tabuk,SAL Express,902,3,3,192.68,38.21,On-Time,0
KSA-LOG-1444,NEOM Supply Hub,NEOM,SAL Express,1364,4,5,232.07,39.18,Delayed - Warehouse,1
KSA-LOG-1445,Madinah Distribution Center,NEOM,SPL (Saudi Post),712,2,2,117.34,14.15,On-Time,0
KSA-LOG-1446,Madinah Distribution Center,NEOM,SAL Express,1254,4,4,151.84,10.61,On-Time,0
KSA-LOG-1447,NEOM Supply Hub,Riyadh,SMSA Express,638,2,2,79.36,1.33,On-Time,0
KSA-LOG-1448,Riyadh Central Hub,Tabuk,SMSA Express,1044,3,3,193.82,34.12,On-Time,0
KSA-LOG-1449,Jeddah Port Hub,Riyadh,SAL Express,1261,4,4,136.6,4.29,On-Time,0
KSA-LOG-1450,NEOM Supply Hub,NEOM,SPL (Saudi Post),1367,4,4,187.68,21.33,On-Time,0
KSA-LOG-1451,Dammam Logistics Gateway,Khobar,SAL Express,253,1,4,120.94,30.28,Delayed - Customs,1
KSA-LOG-1452,Riyadh Central Hub,Tabuk,Aramex KSA,1269,4,4,243.74,46.89,On-Time,0
KSA-LOG-1453,Madinah Distribution Center,Tabuk,SPL (Saudi Post),1371,4,4,174.5,15.93,On-Time,0
KSA-LOG-1454,Jeddah Port Hub,Madinah,SMSA Express,1174,3,3,151.07,12.86,On-Time,0
KSA-LOG-1455,Riyadh Central Hub,Madinah,SPL (Saudi Post),1156,3,3,199.68,32.88,On-Time,0
KSA-LOG-1456,Jeddah Port Hub,Jeddah,SAL Express,556,2,4,147.36,31.15,Delayed - Traffic/Route,1
KSA-LOG-1457,Riyadh Central Hub,Dammam,SMSA Express,316,1,1,92.63,16.94,On-Time,0
KSA-LOG-1458,Jeddah Port Hub,Madinah,SAL Express,658,2,2,193.74,46.44,On-Time,0
KSA-LOG-1459,Jeddah Port Hub,Riyadh,Aramex KSA,462,2,2,167.76,42.32,On-Time,0
KSA-LOG-1460,Jeddah Port Hub,Madinah,SPL (Saudi Post),912,3,3,126.94,11.59,On-Time,0
KSA-LOG-1461,Dammam Logistics Gateway,Jeddah,SAL Express,830,3,3,122.25,12.34,On-Time,0
KSA-LOG-1462,Dammam Logistics Gateway,Tabuk,Aramex KSA,626,2,2,139.73,25.86,On-Time,0
KSA-LOG-1463,Dammam Logistics Gateway,Jeddah,SAL Express,222,1,1,139.74,38.79,On-Time,0
KSA-LOG-1464,Madinah Distribution Center,Tabuk,SMSA Express,1314,4,4,136.82,2.68,On-Time,0
KSA-LOG-1465,Riyadh Central Hub,Khobar,SMSA Express,731,2,2,170.53,34.82,On-Time,0
KSA-LOG-1466,Jeddah Port Hub,Khobar,SPL (Saudi Post),411,2,2,139.36,32.59,On-Time,0
KSA-LOG-1467,NEOM Supply Hub,Tabuk,Aramex KSA,394,1,1,86.42,11.96,On-Time,0
KSA-LOG-1468,Jeddah Port Hub,Dammam,SAL Express,710,2,2,167.38,34.23,On-Time,0
KSA-LOG-1469,Madinah Distribution Center,Madinah,SAL Express,1249,4,4,242.52,47.04,On-Time,0
KSA-LOG-1470,Jeddah Port Hub,Riyadh,SAL Express,324,1,1,57.97,2.82,On-Time,0
KSA-LOG-1471,Madinah Distribution Center,Riyadh,SAL Express,258,1,1,86.44,16.32,On-Time,0
KSA-LOG-1472,Jeddah Port Hub,NEOM,SAL Express,332,1,1,107.04,22.19,On-Time,0
KSA-LOG-1473,NEOM Supply Hub,Tabuk,SPL (Saudi Post),341,1,1,164.8,45.01,On-Time,0
KSA-LOG-1474,Riyadh Central Hub,Riyadh,SMSA Express,214,1,1,162.44,48.13,On-Time,0
KSA-LOG-1475,Madinah Distribution Center,Dammam,SMSA Express,1112,3,3,170.16,22.48,On-Time,0
KSA-LOG-1476,Jeddah Port Hub,Tabuk,SAL Express,1273,4,4,220.92,37.63,On-Time,0
